Jenis Kelamin,Usia,Jenjang Pendidikan,Jabatan/posisi,Apakah Anda memiliki sertifikat profesi manajemen risiko?,Silakan pilih sektor di mana perusahaan Anda berada!,"Jika memilih Sektor Jasa Keuangan, pilih industri di mana perusahaan Anda berada","Jika memilih Sektor Riil, pilih industri di mana perusahaan Anda berada!",Apakah perusahaan Anda merupakan BUMN/BUMD?,Apakah perusahaan Anda merupakan PMA?,Apakah perusahaan Anda merupakan public-listed company?
Perempuan,>35 s.d. 45 tahun,S1,"Manajemen puncak/pimpinan organisasi (contoh: Direksi/Dewan Komisaris/Anggota Komite Dekom, atau setara)",Tidak,Sektor Riil,,"Aktivitas Profesional, Ilmiah dan Teknis",Tidak,Tidak,Tidak
Laki-laki,>35 s.d. 45 tahun,S2,"Manajemen puncak/pimpinan organisasi (contoh: Direksi/Dewan Komisaris/Anggota Komite Dekom, atau setara)",Ya,Sektor Jasa Keuangan,Asuransi,,Tidak,Ya,Ya
Laki-laki,>45 s.d. 55 tahun,S1,"Manajemen senior organisasi (contoh: GM/Kadiv/EVP/VP/Group Head/Pimwil, atau setara)",Ya,Sektor Jasa Keuangan,Asuransi,Informasi dan Komunikasi,Tidak,Ya,Ya
Laki-laki,>45 s.d. 55 tahun,S2,"Manajemen puncak/pimpinan organisasi (contoh: Direksi/Dewan Komisaris/Anggota Komite Dekom, atau setara)",Ya,Sektor Jasa Keuangan,Asuransi,,Tidak,Tidak,Tidak
Laki-laki,25 s.d. 35 tahun,S1,"Manajemen menengah/lini organisasi (contoh: Manajer/Kabag/Pimca, atau setara)",Ya,Sektor Jasa Keuangan,Asuransi,,Tidak,Ya,Tidak
Perempuan,25 s.d. 35 tahun,S1,Staf non-manajerial,Ya,Sektor Jasa Keuangan,Asuransi,,Ya,Tidak,Tidak
Laki-laki,>55 tahun,S3,Profesional independen,Ya,Sektor Jasa Keuangan,Asuransi,"Aktivitas Profesional, Ilmiah dan Teknis",Tidak,Ya,Tidak
Laki-laki,>45 s.d. 55 tahun,S2,"Manajemen senior organisasi (contoh: GM/Kadiv/EVP/VP/Group Head/Pimwil, atau setara)",Ya,Sektor Jasa Keuangan,Asuransi,,Tidak,Ya,Ya
Perempuan,>35 s.d. 45 tahun,S2,"Manajemen menengah/lini organisasi (contoh: Manajer/Kabag/Pimca, atau setara)",Ya,Sektor Riil,,Industri Pengolahan,Tidak,Ya,Tidak
Laki-laki,>35 s.d. 45 tahun,S2,"Manajemen senior organisasi (contoh: GM/Kadiv/EVP/VP/Group Head/Pimwil, atau setara)",Ya,Sektor Jasa Keuangan,Asuransi,,Tidak,Tidak,Tidak
Perempuan,>35 s.d. 45 tahun,D3,"Manajemen menengah/lini organisasi (contoh: Manajer/Kabag/Pimca, atau setara)",Ya,Sektor Jasa Keuangan,Asuransi,,Tidak,Ya,Tidak
Perempuan,>35 s.d. 45 tahun,S1,Staf non-manajerial,Ya,Sektor Jasa Keuangan,Asuransi,,Tidak,Ya,Tidak
Laki-laki,>35 s.d. 45 tahun,S1,Staf non-manajerial,Ya,Sektor Jasa Keuangan,Asuransi,,Tidak,Ya,Tidak
Laki-laki,>55 tahun,S1,"Manajemen puncak/pimpinan organisasi (contoh: Direksi/Dewan Komisaris/Anggota Komite Dekom, atau setara)",Ya,Sektor Jasa Keuangan,Asuransi,,Tidak,Tidak,Ya
Laki-laki,25 s.d. 35 tahun,S1,Staf non-manajerial,Ya,Sektor Jasa Keuangan,Asuransi,,Tidak,Ya,Tidak
Laki-laki,>45 s.d. 55 tahun,S2,"Manajemen puncak/pimpinan organisasi (contoh: Direksi/Dewan Komisaris/Anggota Komite Dekom, atau setara)",Tidak,Sektor Riil,,"Aktivitas Profesional, Ilmiah dan Teknis",Tidak,Tidak,Tidak
