1.1.1,1.1.2,1.1.3,1.1.4,1.1.5,1.2.1.,1.2.2,1.2.3,1.2.4,1.2.5,1.3.1,1.3.2,1.3.3,1.3.4,1.3.5,2.1.1,2.1.2,2.1.3,2.1.4,2.1.5,2.2.1,2.2.2,2.2.3,2.2.4,2.2.5,2.3.1,2.3.2,2.3.3,2.3.4,2.3.5,3.1.1,3.1.2,3.1.3,3.1.4,3.1.5,3.2.1,3.2.2,3.2.3,3.2.4,3.2.5,3.3.1,3.3.2,3.3.3,3.3.4,3.3.5,4.1.1,4.1.2,4.1.3,4.1.4,4.1.5,4.2.1,4.2.2,4.2.3,4.2.4,4.2.5,4.3.1,4.3.2,4.3.3,4.3.4,4.3.5,5.1.1,5.1.2,5.1.3,5.1.4,5.1.5,"5.2,1",5.2.2,5.2.3,5.2.4,5.2.5,5.3.1,5.3.2,5.3.3,5.3.4,5.3.5,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,2.5,3.1,3.2,3.3,3.4,3.5,4.1,4.2,4.3,4.4,4.5,5.1,5.2,5.3,5.4,5.5
3,5,4,1,2,5,4,3,2,1,2,4,3,1,5,4,2,1,3,5,4,2,1,5,3,4,3,2,5,1,4,2,3,5,1,4,3,2,5,1,1,2,5,4,3,4,5,3,2,1,1,3,4,2,5,4,2,5,3,1,5,4,3,2,1,1,2,3,4,5,5,4,2,3,1,15,20,12,2,2,16,4,1,15,15,16,6,6,25,1,4,15,12,4,5,5,8,9,8,5
3,4,2,1,5,5,4,3,1,2,2,3,5,4,1,5,2,3,1,4,5,1,2,3,4,3,4,2,1,5,5,3,2,1,4,3,2,5,1,4,5,3,2,4,1,5,4,2,3,1,5,4,1,2,3,5,2,1,3,4,5,4,3,1,2,5,4,3,1,2,5,4,3,1,2,15,16,6,1,10,25,2,6,3,16,15,6,10,1,16,25,16,2,6,3,25,16,9,1,4
5,1,2,4,3,5,1,2,3,4,5,4,3,2,1,5,4,3,2,1,5,2,1,3,4,1,2,3,4,5,1,2,5,4,3,1,2,4,5,3,5,4,3,2,1,5,1,2,3,4,5,3,4,1,2,5,1,2,3,4,1,5,4,2,3,5,4,3,2,1,2,1,3,5,4,25,1,4,12,12,25,8,3,6,4,1,4,20,20,9,25,3,8,3,8,5,20,12,4,3
4,3,5,2,1,5,2,3,4,1,5,4,3,2,1,1,2,4,3,5,1,2,3,4,5,2,4,5,1,3,3,5,2,4,1,2,5,4,3,1,5,3,4,2,1,1,2,3,4,5,5,4,3,2,1,5,4,3,2,1,5,1,2,3,4,5,1,2,3,4,5,4,3,2,1,20,6,15,8,1,1,4,12,12,25,6,25,8,12,1,5,8,9,8,5,25,1,4,9,16
5,1,3,4,2,1,2,3,4,5,5,4,3,2,1,1,2,3,4,5,2,3,4,5,1,5,4,3,2,1,1,2,5,4,3,3,2,1,5,4,1,2,3,4,5,2,3,4,5,1,5,4,3,2,1,1,2,3,4,5,3,2,1,4,5,1,2,3,4,5,5,2,3,4,1,5,2,9,16,10,2,6,12,20,5,3,4,5,20,12,10,12,12,10,1,3,4,3,16,25
4,1,2,3,5,4,1,2,3,5,4,1,2,3,5,1,4,5,3,2,1,4,5,3,2,1,4,5,3,2,2,1,5,3,4,2,1,5,3,4,2,1,5,3,4,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,5,4,1,2,3,5,4,1,2,3,5,4,16,1,4,9,25,1,16,25,9,4,4,1,25,9,16,1,4,9,16,25,1,4,9,25,16
4,3,2,1,5,5,4,3,2,1,3,4,2,1,5,5,4,3,2,1,3,4,2,1,5,3,4,2,1,5,3,4,2,1,5,5,4,3,2,1,4,5,3,2,1,2,4,1,5,3,4,3,5,2,1,4,3,2,1,5,3,4,2,5,1,4,5,3,2,1,5,4,2,3,1,20,12,6,2,5,15,16,6,2,5,15,16,6,2,5,8,12,5,10,3,12,20,6,10,1
4,3,5,2,1,4,5,3,2,1,3,5,4,2,1,2,3,5,1,4,2,3,5,4,1,4,5,3,2,1,2,5,3,4,1,2,3,4,5,1,2,3,4,5,1,4,5,1,3,2,4,5,3,2,1,3,4,5,2,1,5,4,3,1,2,5,4,1,2,3,5,3,1,2,4,16,15,15,4,1,4,9,25,4,4,4,15,12,20,1,16,25,3,6,2,25,16,3,2,6
3,4,5,2,1,4,5,3,1,2,1,2,3,4,5,5,2,1,4,3,2,4,3,5,1,4,3,2,5,1,4,5,2,3,1,2,5,3,4,1,5,3,4,1,2,2,5,1,4,3,3,2,1,5,4,5,3,4,2,1,3,2,5,4,1,2,3,5,4,1,5,4,2,1,3,12,20,15,2,2,10,8,3,20,3,8,25,6,12,1,6,10,1,20,12,6,6,25,16,1
3,5,4,2,1,3,5,4,2,1,3,1,2,4,5,4,2,3,1,5,4,2,3,1,5,3,4,2,5,1,2,5,3,4,1,2,5,3,4,1,4,1,3,2,5,2,3,1,5,4,2,3,1,5,4,4,3,5,1,2,2,3,5,1,4,2,3,5,1,4,4,3,1,5,2,9,25,16,4,1,16,4,9,1,25,4,25,9,16,1,4,9,1,25,16,4,9,25,1,16
