Risk,Likelihood,Impact,Readiness
Rantai Pasok,3.29,3.18,3.26
Ongkos Produksi,3.57,3.66,3.26
Harga BBM/TDL,3.25,3.08,3.28
Gagal Pemasok,2.59,2.71,2.75
Gagal Produksi,2.29,2.38,2.45
Kurs Rupiah,3.74,3.74,3.32
Akses Modal,2.64,2.53,2.97
Kredit Macet,2.82,2.72,2.79
Impor/Ekspor,2.62,2.77,3.05
Daya Beli,3.19,3.24,2.87
Demo/Kerusuhan,3.50,3.26,3.59
Kebijakan Tidak Populis,3.67,3.66,2.95
Tempat Kerja Tidak Kondusif,2.60,2.64,3.22
Iklim Usaha/Investasi,3.07,3.16,2.90
Terorisme,2.16,2.28,2.34
Bencana Alam,3.18,3.47,3.20
Rantai Pasok (Alam),3.18,3.04,3.11
Cuaca Buruk,2.74,3.03,2.93
Greenflation,2.92,2.60,2.86
Perubahan Iklim Lain,2.98,2.87,2.90
Keamanan Data,4.01,4.09,3.40
Tenaga Kerja,2.65,2.74,2.73
Biaya Regulasi,2.94,2.96,3.17
ESG,2.69,2.64,2.92
Kompetisi Tekno,2.71,2.57,2.78
